Date,Open,High,Low,Close,Volume
2/18/58,41.17,41.17,41.17,41.17,933333
2/19/58,41.15,41.15,41.15,41.15,1150000
2/20/58,40.91,40.91,40.91,40.91,1144444
2/21/58,40.88,40.88,40.88,40.88,944444
2/24/58,40.65,40.65,40.65,40.65,872222
2/25/58,40.61,40.61,40.61,40.61,1066667
2/26/58,40.92,40.92,40.92,40.92,1044444
2/27/58,40.68,40.68,40.68,40.68,927778
2/28/58,40.84,40.84,40.84,40.84,877778
3/3/58,41.13,41.13,41.13,41.13,1005556
3/4/58,41.35,41.35,41.35,41.35,1116667
3/5/58,41.47,41.47,41.47,41.47,1122222
3/6/58,42,42,42,42,1372222
3/7/58,42.07,42.07,42.07,42.07,1183333
3/10/58,42.21,42.21,42.21,42.21,1100000
3/11/58,42.51,42.51,42.51,42.51,1466667
3/12/58,42.41,42.41,42.41,42.41,1344444
3/13/58,42.46,42.46,42.46,42.46,1572222
3/14/58,42.33,42.33,42.33,42.33,1194444
3/17/58,42.04,42.04,42.04,42.04,1183333
3/18/58,41.89,41.89,41.89,41.89,1150000
3/19/58,42.09,42.09,42.09,42.09,1338889
3/20/58,42.11,42.11,42.11,42.11,1266667
3/21/58,42.42,42.42,42.42,42.42,1350000
3/24/58,42.58,42.58,42.58,42.58,1433333
3/25/58,42.44,42.44,42.44,42.44,1227778
3/26/58,42.3,42.3,42.3,42.3,1105556
3/27/58,42.17,42.17,42.17,42.17,1188889
3/28/58,42.2,42.2,42.2,42.2,1072222
3/31/58,42.1,42.1,42.1,42.1,1138889
4/1/58,41.93,41.93,41.93,41.93,1150000
4/2/58,41.6,41.6,41.6,41.6,1327778
4/3/58,41.48,41.48,41.48,41.48,1183333
4/7/58,41.33,41.33,41.33,41.33,1161111
4/8/58,41.43,41.43,41.43,41.43,1216667
4/9/58,41.65,41.65,41.65,41.65,1133333
4/10/58,41.7,41.7,41.7,41.7,1111111
4/11/58,41.74,41.74,41.74,41.74,1144444
4/14/58,42,42,42,42,1211111
4/15/58,42.43,42.43,42.43,42.43,1438889
4/16/58,42.1,42.1,42.1,42.1,1244444
4/17/58,42.25,42.25,42.25,42.25,1388889
4/18/58,42.71,42.71,42.71,42.71,1500000
4/21/58,42.93,42.93,42.93,42.93,1416667
4/22/58,42.8,42.8,42.8,42.8,1355556
4/23/58,42.8,42.8,42.8,42.8,1511111
4/24/58,43.14,43.14,43.14,43.14,1594444
4/25/58,43.36,43.36,43.36,43.36,1677778
4/28/58,43.22,43.22,43.22,43.22,1333333
4/29/58,43,43,43,43,1216667
4/30/58,43.44,43.44,43.44,43.44,1611111
5/1/58,43.54,43.54,43.54,43.54,1461111
5/2/58,43.69,43.69,43.69,43.69,1272222
5/5/58,43.79,43.79,43.79,43.79,1483333
5/6/58,44.01,44.01,44.01,44.01,1727778
5/7/58,43.93,43.93,43.93,43.93,1538889
5/8/58,43.99,43.99,43.99,43.99,1550000
5/9/58,44.09,44.09,44.09,44.09,1533333
5/12/58,43.75,43.75,43.75,43.75,1544444
5/13/58,43.62,43.62,43.62,43.62,1633333
5/14/58,43.12,43.12,43.12,43.12,1700000
5/15/58,43.34,43.34,43.34,43.34,1372222
5/16/58,43.36,43.36,43.36,43.36,1127778
5/19/58,43.24,43.24,43.24,43.24,1061111
5/20/58,43.61,43.61,43.61,43.61,1388889
5/21/58,43.55,43.55,43.55,43.55,1433333
5/22/58,43.78,43.78,43.78,43.78,1638889
5/23/58,43.87,43.87,43.87,43.87,1427778
5/26/58,43.85,43.85,43.85,43.85,1388889
5/27/58,43.79,43.79,43.79,43.79,1211111
5/28/58,43.85,43.85,43.85,43.85,1255556
5/29/58,44.09,44.09,44.09,44.09,1305556
6/2/58,44.31,44.31,44.31,44.31,1538889
6/3/58,44.46,44.46,44.46,44.46,1544444
6/4/58,44.5,44.5,44.5,44.5,1494444
6/5/58,44.55,44.55,44.55,44.55,1444444
6/6/58,44.64,44.64,44.64,44.64,1488889
6/9/58,44.57,44.57,44.57,44.57,1322222
6/10/58,44.48,44.48,44.48,44.48,1327778
6/11/58,44.49,44.49,44.49,44.49,1427778
6/12/58,44.75,44.75,44.75,44.75,1533333
6/13/58,45.02,45.02,45.02,45.02,1722222
6/16/58,45.18,45.18,45.18,45.18,1594444
6/17/58,44.94,44.94,44.94,44.94,1638889
6/18/58,45.34,45.34,45.34,45.34,1466667
6/19/58,44.61,44.61,44.61,44.61,1494444
6/20/58,44.85,44.85,44.85,44.85,1438889
6/23/58,44.69,44.69,44.69,44.69,1300000
6/24/58,44.52,44.52,44.52,44.52,1422222
6/25/58,44.63,44.63,44.63,44.63,1511111
6/26/58,44.84,44.84,44.84,44.84,1616667
6/27/58,44.9,44.9,44.9,44.9,1555556
6/30/58,45.24,45.24,45.24,45.24,1566667
7/1/58,45.28,45.28,45.28,45.28,1444444
7/2/58,45.32,45.32,45.32,45.32,1316667
7/3/58,45.47,45.47,45.47,45.47,1461111
7/7/58,45.62,45.62,45.62,45.62,1394444
7/8/58,45.4,45.4,45.4,45.4,1350000
7/9/58,45.25,45.25,45.25,45.25,1461111
7/10/58,45.42,45.42,45.42,45.42,1394444
7/11/58,45.72,45.72,45.72,45.72,1333333
7/14/58,45.14,45.14,45.14,45.14,1411111
7/15/58,45.11,45.11,45.11,45.11,1716667
7/16/58,45.25,45.25,45.25,45.25,1800000
7/17/58,45.55,45.55,45.55,45.55,1766667
7/18/58,45.77,45.77,45.77,45.77,1861111
7/21/58,46.33,46.33,46.33,46.33,1911111
7/22/58,46.41,46.41,46.41,46.41,1900000
7/23/58,46.4,46.4,46.4,46.4,1972222
7/24/58,46.65,46.65,46.65,46.65,2077778
7/25/58,46.97,46.97,46.97,46.97,2461111
7/28/58,47.15,47.15,47.15,47.15,2188889
7/29/58,46.96,46.96,46.96,46.96,1838889
7/30/58,47.09,47.09,47.09,47.09,2044444
7/31/58,47.19,47.19,47.19,47.19,2466667
8/1/58,47.49,47.49,47.49,47.49,1877778
8/4/58,47.94,47.94,47.94,47.94,2222222
8/5/58,47.75,47.75,47.75,47.75,2338889
8/6/58,47.46,47.46,47.46,47.46,1911111
8/7/58,47.77,47.77,47.77,47.77,1777778
8/8/58,48.05,48.05,48.05,48.05,2027778
8/11/58,48.16,48.16,48.16,48.16,1594444
